"","student_id","subsection","lecture_points","video_seconds"
"287",17,"Lecture 8",0,0
"288",17,"Lecture 9",0,0
"289",18,"Lecture 1",0,0
"290",18,"Lecture 10",0,0
"291",18,"Lecture 11",0,0
"292",18,"Lecture 12",0,0
"293",18,"Lecture 13",0,0
"294",18,"Lecture 14",0,0
"295",18,"Lecture 15",0,0
"296",18,"Lecture 16",0,0
"297",18,"Lecture 2",0,0
"298",18,"Lecture 3",0,0
"299",18,"Lecture 4",0,0
"300",18,"Lecture 5",0,0
"301",18,"Lecture 6",0,0
"302",18,"Lecture 7",0,0
"303",18,"Lecture 8",0,0
"304",18,"Lecture 9",0,0
"305",19,"Lecture 1",0,2329
"306",19,"Lecture 10",0,0
"307",19,"Lecture 11",0,0
"308",19,"Lecture 12",0,0
"309",19,"Lecture 13",0,0
"310",19,"Lecture 14",0,0
"311",19,"Lecture 15",0,0
"312",19,"Lecture 16",0,0
"313",19,"Lecture 2",0,1035
"314",19,"Lecture 3",0,2996
"315",19,"Lecture 4",0,3083
"316",19,"Lecture 5",0,1330
"317",19,"Lecture 6",0,808
"318",19,"Lecture 7",0,0
"319",19,"Lecture 8",0,0
"320",19,"Lecture 9",0,0
"321",20,"Lecture 1",0,2508
"322",20,"Lecture 10",0,0
"323",20,"Lecture 11",0,0
"324",20,"Lecture 12",0,0
"325",20,"Lecture 13",0,0
"326",20,"Lecture 14",0,0
"327",20,"Lecture 15",0,0
"328",20,"Lecture 16",0,0
"329",20,"Lecture 2",0,1390
"330",20,"Lecture 3",0,2952
"331",20,"Lecture 4",0,0
"332",20,"Lecture 5",0,0
"333",20,"Lecture 6",0,0
"334",20,"Lecture 7",0,0
"335",20,"Lecture 8",0,0
"336",20,"Lecture 9",0,0
"337",21,"Lecture 1",0,776
"338",21,"Lecture 10",0,0
"339",21,"Lecture 11",0,0
"340",21,"Lecture 12",0,0
"341",21,"Lecture 13",0,0
"342",21,"Lecture 14",0,0
"343",21,"Lecture 15",0,0
"344",21,"Lecture 16",0,0
"345",21,"Lecture 2",0,0
"346",21,"Lecture 3",0,0
"347",21,"Lecture 4",0,0
"348",21,"Lecture 5",0,0
"349",21,"Lecture 6",0,0
"350",21,"Lecture 7",0,0
"351",21,"Lecture 8",0,0
"352",21,"Lecture 9",0,0
"353",22,"Lecture 1",0,637
"354",22,"Lecture 10",0,0
"355",22,"Lecture 11",0,0
"356",22,"Lecture 12",0,0
"357",22,"Lecture 13",0,0
"358",22,"Lecture 14",0,0
"359",22,"Lecture 15",0,0
"360",22,"Lecture 16",0,0
"361",22,"Lecture 2",0,0
"362",22,"Lecture 3",0,0
"363",22,"Lecture 4",0,0
"364",22,"Lecture 5",0,0
"365",22,"Lecture 6",0,0
"366",22,"Lecture 7",0,0
"367",22,"Lecture 8",0,0
"368",22,"Lecture 9",0,0
"369",23,"Lecture 1",8,2329
"370",23,"Lecture 10",6,456
"371",23,"Lecture 11",8,2738
"372",23,"Lecture 12",4,2405
"373",23,"Lecture 13",6,1866
"374",23,"Lecture 14",4,1079
"375",23,"Lecture 15",4,925
"376",23,"Lecture 16",5,0
"377",23,"Lecture 2",3,993
"378",23,"Lecture 3",8,2201
"379",23,"Lecture 4",6,1969
"380",23,"Lecture 5",4,1352
"381",23,"Lecture 6",6,2318
"382",23,"Lecture 7",6,1957
"383",23,"Lecture 8",6,439
"384",23,"Lecture 9",4,3204
"385",24,"Lecture 1",4,1279
"386",24,"Lecture 10",0,0
"387",24,"Lecture 11",0,0
"388",24,"Lecture 12",0,0
"389",24,"Lecture 13",0,0
"390",24,"Lecture 14",0,0
"391",24,"Lecture 15",0,0
"392",24,"Lecture 16",0,0
"393",24,"Lecture 2",0,775
"394",24,"Lecture 3",1,0
"395",24,"Lecture 4",0,0
"396",24,"Lecture 5",0,0
"397",24,"Lecture 6",0,0
"398",24,"Lecture 7",0,0
"399",24,"Lecture 8",0,0
"400",24,"Lecture 9",0,0
"401",25,"Lecture 1",0,0
"402",25,"Lecture 10",0,0
"403",25,"Lecture 11",0,0
"404",25,"Lecture 12",0,0
"405",25,"Lecture 13",0,0
"406",25,"Lecture 14",0,0
"407",25,"Lecture 15",0,0
"408",25,"Lecture 16",0,0
"409",25,"Lecture 2",0,0
"410",25,"Lecture 3",0,0
"411",25,"Lecture 4",0,0
"412",25,"Lecture 5",0,0
"413",25,"Lecture 6",0,0
"414",25,"Lecture 7",0,0
"415",25,"Lecture 8",0,0
"416",25,"Lecture 9",0,0
"417",26,"Lecture 1",0,1330
"418",26,"Lecture 10",0,0
"419",26,"Lecture 11",0,0
"420",26,"Lecture 12",0,0
"421",26,"Lecture 13",0,0
"422",26,"Lecture 14",0,0
"423",26,"Lecture 15",0,0
"424",26,"Lecture 16",0,0
"425",26,"Lecture 2",0,194
"426",26,"Lecture 3",0,0
"427",26,"Lecture 4",0,0
"428",26,"Lecture 5",0,0
"429",26,"Lecture 6",0,0
"430",26,"Lecture 7",0,0
"431",26,"Lecture 8",0,0
"432",26,"Lecture 9",0,0
"433",27,"Lecture 1",2,2450
"434",27,"Lecture 10",0,0
"435",27,"Lecture 11",0,0
"436",27,"Lecture 12",0,0
"437",27,"Lecture 13",0,0
"438",27,"Lecture 14",0,0
"439",27,"Lecture 15",0,0
"440",27,"Lecture 16",0,0
"441",27,"Lecture 2",0,1271
"442",27,"Lecture 3",0,3489
"443",27,"Lecture 4",0,0
"444",27,"Lecture 5",0,0
"445",27,"Lecture 6",0,0
"446",27,"Lecture 7",0,0
"447",27,"Lecture 8",0,0
"448",27,"Lecture 9",0,0
"449",28,"Lecture 1",1,0
"450",28,"Lecture 10",0,0
"451",28,"Lecture 11",0,0
"452",28,"Lecture 12",0,0
"453",28,"Lecture 13",0,0
"454",28,"Lecture 14",0,0
"455",28,"Lecture 15",0,0
"456",28,"Lecture 16",0,0
"457",28,"Lecture 2",0,0
"458",28,"Lecture 3",0,0
"459",28,"Lecture 4",0,0
"460",28,"Lecture 5",0,0
"461",28,"Lecture 6",0,0
"462",28,"Lecture 7",0,0
"463",28,"Lecture 8",0,0
"464",28,"Lecture 9",0,0
"465",29,"Lecture 1",0,284
"466",29,"Lecture 10",0,0
"467",29,"Lecture 11",0,0
"468",29,"Lecture 12",0,0
"469",29,"Lecture 13",0,0
"470",29,"Lecture 14",0,0
"471",29,"Lecture 15",0,0
"472",29,"Lecture 16",0,0
"473",29,"Lecture 2",0,0
"474",29,"Lecture 3",0,0
"475",29,"Lecture 4",0,0
"476",29,"Lecture 5",0,0
"477",29,"Lecture 6",0,0
"478",29,"Lecture 7",0,0
"479",29,"Lecture 8",0,0
"480",29,"Lecture 9",0,0
"481",30,"Lecture 1",0,955
"482",30,"Lecture 10",0,0
"483",30,"Lecture 11",0,0
"484",30,"Lecture 12",0,0
"485",30,"Lecture 13",0,0
"486",30,"Lecture 14",0,0
"487",30,"Lecture 15",0,0
"488",30,"Lecture 16",0,0
"489",30,"Lecture 2",0,508
"490",30,"Lecture 3",0,44
"491",30,"Lecture 4",0,0
"492",30,"Lecture 5",0,0
"493",30,"Lecture 6",0,0
"494",30,"Lecture 7",0,0
"495",30,"Lecture 8",0,0
"496",30,"Lecture 9",0,0
"497",31,"Lecture 1",0,2822
"498",31,"Lecture 10",0,0
"499",31,"Lecture 11",0,0
"500",31,"Lecture 12",0,0
"501",31,"Lecture 13",0,0
"502",31,"Lecture 14",0,0
"503",31,"Lecture 15",0,0
"504",31,"Lecture 16",0,0
"505",31,"Lecture 2",0,62
"506",31,"Lecture 3",0,0
"507",31,"Lecture 4",0,0
"508",31,"Lecture 5",0,0
"509",31,"Lecture 6",0,0
"510",31,"Lecture 7",0,0
"511",31,"Lecture 8",0,0
"512",31,"Lecture 9",0,0
"513",32,"Lecture 1",1,158
"514",32,"Lecture 10",0,0
"515",32,"Lecture 11",0,0
"516",32,"Lecture 12",0,0
"517",32,"Lecture 13",0,0
"518",32,"Lecture 14",0,0
"519",32,"Lecture 15",0,0
"520",32,"Lecture 16",0,0
"521",32,"Lecture 2",1,0
"522",32,"Lecture 3",0,0
"523",32,"Lecture 4",0,0
"524",32,"Lecture 5",0,0
"525",32,"Lecture 6",0,0
"526",32,"Lecture 7",0,0
"527",32,"Lecture 8",0,0
"528",32,"Lecture 9",0,0
"529",33,"Lecture 1",3,1184
"530",33,"Lecture 10",0,0
"531",33,"Lecture 11",0,0
"532",33,"Lecture 12",0,0
"533",33,"Lecture 13",0,0
"534",33,"Lecture 14",0,0
"535",33,"Lecture 15",0,0
"536",33,"Lecture 16",0,0
"537",33,"Lecture 2",1,0
"538",33,"Lecture 3",0,0
